date,plot.id,sample.number,ash.species,dbh,canopy.condition,number.eab.exit.holes,eab.galleries,number.branches.surveyed,epicormics.surveyed,total.chrysomelidae,total.curculionidae,psomus.armatus ,total.miridae,tropidosteptes.canadensis ,tropidosteptes.cardinalis ,total.tingidae,leptoypha.mutica 
6/25/2025,ILLOW3,86,black,3.4,4,0,1,4,1,1,0,0,1,0,0,2,2
6/25/2025,ILLOW3,87,black,4.1,4,0,0,4,1,3,0,0,1,0,0,2,2
6/25/2025,ILLOW3,88,black,5.2,2,0,0,5,1,1,0,0,1,0,0,0,0
6/25/2025,ILLOW3,89,black,6.7,3,0,0,4,1,0,0,0,0,0,0,0,0
6/25/2025,ILLOW3,90,black,4.3,2,0,0,5,1,0,0,0,1,0,0,2,2
6/25/2025,ILCC3,91,green,4.1,1,0,1,4,0,0,0,0,0,0,0,0,0
6/25/2025,ILCC3,92,green,4.3,1,0,1,5,1,0,0,0,0,0,0,0,0
6/25/2025,ILCC3,93,green,3.1,1,0,0,3,0,0,0,0,1,0,0,0,0
6/25/2025,ILCC3,94,black,6.1,4,0,1,5,1,0,0,0,0,0,0,0,0
6/25/2025,ILCC3,95,green,3.7,1,0,0,3,0,0,0,0,0,0,0,0,0
6/25/2025,ILCC2,96,black,3,1,0,0,4,0,3,0,0,1,0,0,2,2
6/26/2025,PLWET3,97,black,8.7,1,0,0,4,1,1,0,0,0,0,0,0,0
6/26/2025,PLWET3,98,black,8.1,5,0,0,3,1,0,0,0,4,0,0,4,4
6/26/2025,PLWET3,99,black,7.5,5,0,0,3,1,0,0,0,2,0,0,1,1
6/26/2025,PLWET3,100,black,6.5,4,0,0,3,1,1,1,1,5,0,0,0,0
6/26/2025,PLWET3,101,black,5.8,4,0,1,5,1,1,0,0,1,0,0,1,1
6/26/2025,ILCC2,103,black,2.7,1,0,0,5,0,0,0,0,1,0,0,0,0
6/26/2025,ILCC2,104,black,2.7,1,0,0,5,0,0,0,0,0,0,0,1,1
6/26/2025,ILCC2,105,black,4.5,1,0,0,4,0,0,0,0,0,0,0,0,0
6/26/2025,ILCC,106,black,5,5,0,1,3,1,0,0,0,0,0,0,2,2
6/26/2025,ILCC,107,black,6.5,3,0,0,5,1,0,0,0,1,0,0,0,0
6/26/2025,PLWET2,108,black,5.3,4,0,0,3,0,0,0,0,0,0,0,2,2
6/26/2025,PLWET2,109,black,6.9,5,0,1,5,0,0,0,0,0,0,0,1,1
6/27/2025,PLWET,110,black,6.1,5,0,1,4,1,0,0,0,1,0,0,2,2
6/27/2025,PLWET,111,black,3.5,3,0,0,5,0,0,0,0,1,0,0,3,3
6/27/2025,PLWET,112,black,6.5,3,0,1,5,1,0,0,0,0,0,0,0,0
6/27/2025,PLWET,113,black,7.6,4,0,0,5,1,0,0,0,2,0,0,1,1
6/27/2025,PLWET,114,black,3.6,5,0,1,3,1,0,1,0,0,0,0,0,0
